asv	K00800_predicted_copies
0020df0d15878f78e5b6204ed4dccc70	2
00403943b8eb9d43f7ac27214e931cd4	1
004931cc3ee001bc63d9e3272e432e97	1
005453080539c396be8bc50a3e1361ac	1
011b0248a072544956f2937e5cf428d7	1
0126a01c7645f7bddeefa3595953f66d	1
015a2ca9ff6b0c0a3a90fc294aef0b25	1
0193e1451f0e24fbf64510b432e5c6f9	2
01cf99f2a2bbd5f11b1e2210ba310127	1
0244102417836849912316fcadea1808	1
02621f9960bee27f77fc3cb5fa21d35e	1
02d0bf2e34912b4e2324b9cfc15262cf	1
02d81b3dd6f2e95d5b37ebcecf7043e3	1
030ddceec57f739445da3dbc58d64e49	1
03236f5c3108b66daa2c4434d624a33b	1
0350e595408dc909c4b097345eb9638b	1
0377f60eac84d7a3cce87c768491288a	1
040dd4d6e30f65c5e1b4750e5396cbe9	1
0429e5f92ce703a9a8062a76e9aa04f3	1
04d6c1168dab8c2d6eac9ec1477468f6	1
0671cb3a17d8e8905c22ff578d236dc5	1
06b76ef35ea598c4422617433d4b659d	1
06b8739ae2b91a8784a29a5bad7dc742	1
071f852019e4b94b2dd5b8b25e8baf1b	1
075425367f7f3d4630297431debd4303	1
07544475a4a98637db4790196e8eadda	0
075ba1eff6d3802d1d990ccebf68183c	1
079d6041f5b66af3f72e422b40d5ca9b	1
07a4d01fec3eb7ebaf7e624253c9d2af	1
07bc88017e14b1ec58ef7a72592e97ba	1
07cf39371c613028c2c5ffb3cc325c40	1
08676db4a4344aedb4c4c0ffc93c5496	1
0868a830fbd9a525cf86495ec64d650d	1
088bd3bb9d69a072ff5f6d638e27c932	1
08a89d3e860a6bd44fa9cbe03d653d38	0
08e12eac43956cd088517b6c38e8d9fb	1
0953fb00f61f632abf534dd134521fb9	1
09cd4715c9688085b7205e5d1b9ef7ee	1
0a12a59e3aaf0a535f89ad0972673346	3
0ae2d1799dd9be4356ca9b7a3631ba8c	1
0afe9b24d6fe5a87b447a2274268a9d3	2
0b836cd90dd705e82c3e0a733e6ccedc	1
0c0a32821aad77477e11f4cc5ed89413	2
0c118308d43eba07544c1d3e20d7212b	1
0c6e2405d80449bb763058752ce93e44	1
0c8db03b2ccebbc8712d091d185dbda8	2
0ccd488b0e6c77f931063babbb0c51c5	1
0d7384ed3ca6e523bdd13fefa68d7587	1
0d91ae7bedcef4c4f92889f8ed129af8	1
0d98bb5339cede8a9e7252702e8b71f6	1
0e387dafdee18b30ca7ba7280177d3ac	0
0ecf1f51fc275d4a7d21ed3abe7f3743	1
0edb76deedd586e397c2cca8bc6ae78c	1
0eeb92fc28812dd1c1ac15852788e94d	1
0f0e80c9bf3474d8e58b2a11bc5f8ad6	1
0f280c54befbfeb13cb04a6b2918bb50	1
0f508d39d3c912b924991c27ea8bed33	1
0f719f65bb28c64af3be02ded8c97923	1
0f73bef529ad4de5bff90d67b9f2bd57	1
0f749ee14b6e944e18905d96ee20c2ee	1
1004b81dbe3fcaa99a71cdf655e7e46a	1
100f84a1f742a31ec5a139d2075b16e4	1
10dad5e9a90163ae42fc7a9ca7ed8d71	1
116bc589d5abe375b8fa9eec99f51b92	1
11926357c79aecaccd49ecd25f7663e8	1
11fc661a0ea8103278a02501a3d5a627	1
11ffb2150135d98b01841fe4874a09eb	1
124583c1eca7b7048cb190f18a028344	1
12982763d187e6395041946b51bae38b	1
12c46748d68c9df73596c981f85005c8	1
12d113a6edd474780afc87df455a6a39	1
12e79ae350c1def8aae61fcf85c9fac8	1
12f301efd7446fc9338bea0675a07707	1
1453bf4bb3c2513398bae63db3f179f8	1
1456cf750aa3f4afe7793b21e3f1f657	1
1497f4e7db8c129575886247198e8723	1
15091880d5502629dd7cc268e1b7078f	1
1529d3d93d8ef4e90d0337b1d569ef2b	1
153c7e869652a1d6aef3c3dc21cf5d6c	1
1581b4f9ce663ca2d9259f2fc151cc27	1
15b809278a3e8d69d3f86782fd5b4a7c	1
15d9727c1f02b3e3daf9da7a70ae4a51	1
168cdf13a00e88c20ef6d97f8f7b1722	1
171b6a0d0aae99801ab4e7d7893ef950	1
176a97fc74aecac3a4eed2c4b22b4f8b	1
177f7968a2a422f14f03988dba7d96e6	2
17a22ff7dca55cb544f67332557d5793	1
17b0e44d41c7161299adc337c78a9f1c	1
17e13c81966673518ffa95a79b38e03b	1
182b38c4adbbfcad137440caf47cd648	1
1851a2da5a348afe008bb3d6ee6f19f1	1
1879669d2253ad606d97ed0307f58127	1
18e548b5e3e6b0c9b6fe1ea4ef109a5f	1
19086b827722314a7babfe1fd8ce3859	1
190b938d1354cf5b20c214e793dfc1c5	1
192940e5388bc84739eb90c33e04d13c	1
19575a7fa99a039bc572723301d23eb6	1
19704e610817044a3bdbc1bd7fa4b2d9	1
199825b52550a6971aaf7a72a352ec40	1
1a01fa842c7209d731ebd56ecc5c1383	1
1a0996e930a4893d3d8f76999258846f	1
1a4c2ac7ec37f26d2641b8cc064b3ebe	1
1a7d993d431aed9d5be53bb66fc7f0cb	1
1aa4036c36a532656bf20cb1970e5a88	2
1aad5be8fe8724f2b72d573131036f57	1
1ae7065742acc4c204f4d0bcecd2c6bf	1
1afe7609893bd3011346bb7df9fd56b0	1
1b280d8b4a90b84b9022cef871e3e033	1
1b46b92965e2dbd8e6759a9213889749	1
1b528197b8fe0cf65aa517345f8ef5fd	1
1b6fd1a8f9519a3be1b74fc3a4d46b9f	1
1bd69aaeee80590293f4bb6358076649	1
1bdca0f91fcbbcd858c166f4b93a95ea	1
1c66bcb670d47d566268a75ffd213169	1
1c68c71b9738dca8fb44e710178a42db	1
1ca0a62639bb629a381d8b7d5eabaed6	1
1ce2eacc8508ec3a7a904983388a709e	1
1d13ad52867afa330c9c1421ad39065d	1
1d35269e541cb2fff7d6de00669c7749	1
1d91391384403fcbd0e7ce6094e60e5d	1
1da61106205ff6b6d74b259d739977ef	1
1dc906687a481f353b3666032eb81e2a	1
1debfe77e1dd3b1a8a74cd1d72d9b1c4	1
1e19cfe7c6879485e5079598d55add6c	1
1e1ad339f220f26e2487f9a3dd85200a	1
1e38832bda68b36030759d8e9ad5a7db	1
1e4fb01939f78c10d8ae05b19f69806f	1
1e5665e06026596b42e34c72c7a097f8	1
1e90c32832aa8ad4f1dcef6fc1d80c7e	1
1eb5fede1e2f1c7bba2472c965f4c210	1
1ebcd06937a6cde4f3bf2d981274b504	1
1ed9327ab175d259693f81f166d47d9a	1
1efd20ff95c06593057e8de444eb497f	1
1f067750557732f7eaaaa68569aab4ba	2
1f10bae2ba9dff7853bb9a24cffd52ab	1
1f110edc94660e075c078e5467241b1e	1
1f252bfa5bb4fb904f1f1bc72951d8b7	1
1f34b6b24a3f47c8313d8529c35b7b7a	1
1f3906aba1b321e286e3a66bc1d3c419	1
2006217f51edf4699a1d115e97c97f50	0
201df9f6dac8279057d8dade8f7f93b9	1
20bf60be4a47c644117f5602027dbf9b	1
20f59197788af30f29b1318d33a64912	1
2138f3ec8e1c4f29b3e8ccf8e91cf427	1
21421ab330dfe2aad9749b53ffb2d0a3	1
215d4752814f98dda96c834e7f13d81b	1
216e5aa7c2dba451c8a3826fffe15321	1
21fd05b320a774a43a50b2cbfe426842	1
228196f1c61cf4203a01e3fdc3899625	1
2292782215aca0eb4badb318655f81c0	1
2293d8ed72995842a7e591b27179110a	1
22ebaa79e137aacc55fa893d798e7408	1
23201ac8bb7d05a83b643941fbdc225f	1
232be302c026cb492a16862027c105cc	1
239a86975b76c3fcd73369ea1eb9e0a9	1
23ab29d8afa1d8d91732aa1a8410f823	1
23b5a322f83ee3d3db2e9f4532e9ed9f	1
241e8c0ebeee17405bc190c4fe914ba8	1
2427b2de8a3f9a256e59e106fb5c4a32	1
24316fc3f1f963a6c8fc55dd99107f08	1
249d3761a31d76a7a295a5b36f3f8241	1
24e88e0ff0e3cb7d53495a328a8d745f	1
259a7092e2c6a02fac597e2d497c08f3	1
25cb08d1c65c68557d056772510fd6d3	1
