Sample,compartment,treatment,sensitivity,rel_abund
C1.In,gut,control,Unknown/Unpredicted,1
C1.Soil,soil,control,Unknown/Unpredicted,1
C2.In,gut,control,Unknown/Unpredicted,1
C2.Soil,soil,control,Unknown/Unpredicted,1
C3.In,gut,control,Unknown/Unpredicted,1
C3.Soil,soil,control,Unknown/Unpredicted,1
C4.In,gut,control,Unknown/Unpredicted,1
C5.In,gut,control,Unknown/Unpredicted,1
C6.In,gut,control,Unknown/Unpredicted,1
C7.In,gut,control,Unknown/Unpredicted,1
C8.In,gut,control,Unknown/Unpredicted,1
R1.In,gut,roundup,Unknown/Unpredicted,1
R1.Soil,soil,roundup,Unknown/Unpredicted,1
R2.In,gut,roundup,Unknown/Unpredicted,1
R2.Soil,soil,roundup,Unknown/Unpredicted,1
R3.In,gut,roundup,Unknown/Unpredicted,1
R3.Soil,soil,roundup,Unknown/Unpredicted,1
R4.In,gut,roundup,Unknown/Unpredicted,1
R5.In,gut,roundup,Unknown/Unpredicted,1
R6.In,gut,roundup,Unknown/Unpredicted,1
R7.In,gut,roundup,Unknown/Unpredicted,1
R8.In,gut,roundup,Unknown/Unpredicted,1
