,NMDS1,NMDS2
C1.In,-0.014307903896360871,0.6501223452296436
C1.Soil,0.5356197375158408,0.2921625788487427
C2.In,0.1398004483395807,-0.3253671072679022
C2.Soil,0.6211841008546628,0.09600981793208922
C3.In,-0.0820311826018574,0.305181278556369
C3.Soil,0.3014527831730747,0.7084134450198536
C4.In,0.2561885979694683,0.07276264429321858
C5.In,-0.12982196654532727,-0.2425730179404521
C6.In,-0.277885984324266,-0.5777437227261205
C7.In,0.6817505716186668,-0.21509390811430806
C8.In,-0.6094088490259733,-0.16148711731816753
R1.In,-0.2835553100900957,-0.07963815308240664
R1.Soil,-0.33112181865518725,0.6052911859992127
R2.In,0.1134139554464491,-0.5978128117060407
R2.Soil,-0.583763561532366,0.38037219536957106
R3.In,-0.35207315810058903,0.17572929863975012
R3.Soil,0.5305446246362339,-0.4942464128675126
R4.In,-0.11990991154101463,-0.6357134607925373
R5.In,0.433021602071072,-0.022915717109879385
R6.In,-0.47904521412100676,-0.3679589465939909
R7.In,-0.6340080575612919,0.10843742493320549
R8.In,0.28395649637028725,0.32606816069766187
