sample,treatment,compartment,class_I_sensitive,class_II_resistant,total_classified_reads
C1.In,Control,Gut,0.9155356915753711,0.05277883759379372,55041.0
C1.Soil,Control,Soil,0.21141185076810534,0.5698610095098756,2734.0
C2.In,Control,Gut,0.2862548578441399,0.3824913070157496,19556.0
C2.Soil,Control,Soil,0.02808257392598103,0.4757299609447647,5377.0
C3.In,Control,Gut,0.0484593837535014,0.8230252100840336,35700.0
C3.Soil,Control,Soil,0.004938073025575036,0.012256715457616214,62170.0
C4.In,Control,Gut,0.019310141509433963,0.6826356132075472,6784.0
C5.In,Control,Gut,0.14486213875709214,0.1734961345764624,30139.0
C6.In,Control,Gut,0.10704526553403826,0.7537127242485446,8417.0
C7.In,Control,Gut,0.008579493055361485,0.9828969063521784,35783.0
C8.In,Control,Gut,0.4999093052784328,0.10729185561400327,11026.0
R1.In,Roundup,Gut,0.15628368182798016,0.3816196019257024,13917.0
R1.Soil,Roundup,Soil,0.09334625322997415,0.20623385012919895,6192.0
R2.In,Roundup,Gut,0.32067307692307695,0.35168269230769234,8320.0
R2.Soil,Roundup,Soil,0.18923426838514026,0.5278241091736163,6595.0
R3.In,Roundup,Gut,0.20295404814004375,0.6139679066374909,5484.0
R3.Soil,Roundup,Soil,0.018222568700058468,0.09783667900993959,10262.0
R4.In,Roundup,Gut,0.009297520661157025,0.9512167125803489,8712.0
R5.In,Roundup,Gut,0.04611991177060357,0.7339081612191698,4987.0
R6.In,Roundup,Gut,0.31690140845070425,0.15598591549295773,5680.0
R7.In,Roundup,Gut,0.2583796010692988,0.4687435739255604,9726.0
R8.In,Roundup,Gut,0.16012245441235193,0.6536669772394517,7513.0
