sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
C1.In	104878	103661	98.84	102502	67081	63.96
C1.Soil	20549	20249	98.54	19723	12586	61.25
C2.In	161535	159252	98.59	156991	86874	53.78
C2.Soil	44811	44218	98.68	43334	29068	64.87
C3.In	116395	114702	98.55	112791	64931	55.79
C3.Soil	71854	71016	98.83	70140	64977	90.43
C4.In	43268	42615	98.49	41746	23105	53.4
C5.In	133949	131971	98.52	129645	59717	44.58
C6.In	55248	54414	98.49	53266	32650	59.1
C7.In	54638	53781	98.43	52950	42651	78.06
C8.In	42548	41956	98.61	41331	22003	51.71
R1.In	52971	52227	98.6	51077	27085	51.13
R1.Soil	22257	21979	98.75	21441	11031	49.56
R2.In	44468	43923	98.77	42958	21140	47.54
R2.Soil	20528	20264	98.71	19594	10920	53.2
R3.In	34981	34405	98.35	33667	17875	51.1
R3.Soil	79398	78342	98.67	77592	57481	72.4
R4.In	69721	68862	98.77	68028	35083	50.32
R5.In	33653	33167	98.56	32778	21189	62.96
R6.In	43162	42569	98.63	41429	21648	50.16
R7.In	35565	35059	98.58	34478	17332	48.73
R8.In	30947	30507	98.58	29745	17130	55.35
